TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487586.000000  -nan(ind)  0.0000000000  -nan(ind)  0.0000000000  0.0000000000  0.0000000000    0.0000    0.0000    0.0000  
487587.000000  30.5100292259  114.3560521311  39.2005311800  -2268150.4566475735  5010321.7311282000  3219232.4002914135    1.4177    4.3526    6.1706  
487588.000000  30.5100292065  114.3560521756  39.2045116741  -2268150.4623998441  5010321.7334854566  3219232.4004619210    1.4175    4.3583    6.1781  
487589.000000  30.5100292973  114.3560521904  39.2277599573  -2268150.4698451604  5010321.7464888627  3219232.4209410520    1.4174    4.3706    6.1948  
487590.000000  30.5100293832  114.3560522688  39.2539330171  -2268150.4840130270  5010321.7595205326  3219232.4424326969    1.4172    4.3819    6.2102  
487591.000000  30.5100294482  114.3560523085  39.2758090189  -2268150.4937490798  5010321.7717866860  3219232.4597454281    1.4171    4.3941    6.2269  
487592.000000  30.5100294831  114.3560523617  39.2846318092  -2268150.5007222230  5010321.7748176111  3219232.4675579658    1.4170    4.3960    6.2290  
487593.000000  30.5100294487  114.3560524039  39.2743544038  -2268150.5015552389  5010321.7668437203  3219232.4590587402    1.4168    4.3885    6.2177  
487594.000000  30.5100294583  114.3560524741  39.2846926395  -2268150.5111464993  5010321.7716860147  3219232.4652236961    1.4167    4.3975    6.2299  
487595.000000  30.5100295276  114.3560525018  39.2969070179  -2268150.5163077577  5010321.7766230619  3219232.4780379394    1.4165    4.4057    6.2408  
487596.000000  30.5100295911  114.3560525532  39.3172434643  -2268150.5265494222  5010321.7872961303  3219232.4944271785    1.4164    4.4154    6.2539  
487597.000000  30.5100296268  114.3560525943  39.3417725470  -2268150.5380273541  5010321.8030889481  3219232.5102946032    1.4162    4.4235    6.2648  
487598.000000  30.5100296101  114.3560525998  39.3634868851  -2268150.5466119107  5010321.8207684048  3219232.5197260631    1.4161    4.4341    6.2791  
487599.000000  30.5100295247  114.3560525799  39.3585571786  -2268150.5451027481  5010321.8220708994  3219232.5090585621    1.4160    4.4278    6.2696  
487600.000000  30.5100295696  114.3560526353  39.3747893218  -2268150.5546762510  5010321.8303085053  3219232.5215962380    1.4158    4.4337    6.2773  
487601.000000  30.5100295854  114.3560527044  39.3898421982  -2268150.5657020444  5010321.8385809660  3219232.5307408334    1.4157    4.4388    6.2840  
487602.000000  30.5100295460  114.3560527226  39.3816410666  -2268150.5652882992  5010321.8334444379  3219232.5228173793    1.4155    4.4331    6.2752  
487603.000000  30.5100295390  114.3560527984  39.3850427587  -2268150.5732871988  5010321.8334725350  3219232.5238762875    1.4154    4.4284    6.2680  
487604.000000  30.5100295280  114.3560528020  39.3936350029  -2268150.5769143528  5010321.8406374948  3219232.5271853735    1.4153    4.4297    6.2692  
487605.000000  30.5100295081  114.3560528910  39.4007706754  -2268150.5876935888  5010321.8437362416  3219232.5289062494    1.4151    4.4316    6.2713  
487606.000000  30.5100294099  114.3560528851  39.4037786229  -2268150.5905227382  5010321.8513685251  3219232.5210519130    1.4150    4.4268    6.2638  
487607.000000  30.5100294191  114.3560528838  39.4173111347  -2268150.5950025665  5010321.8615675410  3219232.5288046408    1.4148    4.4309    6.2690  
487608.000000  30.5100293870  114.3560529318  39.4240895780  -2268150.6023557927  5010321.8666326078  3219232.5291797225    1.4147    4.4269    6.2627  
487609.000000  30.5100293503  114.3560529873  39.4281801051  -2268150.6095158206  5010321.8695243690  3219232.5277554267    1.4145    4.4237    6.2575  
487610.000000  30.5100292985  114.3560530094  39.4333253587  -2268150.6144799171  5010321.8753436944  3219232.5254195766    1.4144    4.4197    6.2512  
487611.000000  30.5100292694  114.3560530773  39.4338407200  -2268150.6212771474  5010321.8745550718  3219232.5228968491    1.4143    4.4144    6.2431  
487612.000000  30.5100293181  114.3560531084  39.4560406869  -2268150.6307484494  5010321.8882538034  3219232.5388182811    1.4141    4.4218    6.2529  
487613.000000  30.5100292092  114.3560531459  39.4533085413  -2268150.6355884434  5010321.8902072050  3219232.5270296331    1.4140    4.4108    6.2368  
487614.000000  30.5100291716  114.3560531279  39.4557255078  -2268150.6357486336  5010321.8947433550  3219232.5246655727    1.4138    4.4097    6.2346  
487615.000000  30.5100292128  114.3560531571  39.4777099090  -2268150.6451581470  5010321.9087279681  3219232.5397636886    1.4137    4.4200    6.2486  
487616.000000  30.5100292568  114.3560531955  39.4810608458  -2268150.6486776541  5010321.9075867701  3219232.5456651859    1.4136    4.4236    6.2530  
487617.000000  30.5100292671  114.3560532273  39.4802295165  -2268150.6509274682  5010321.9051430523  3219232.5462310570    1.4134    4.4273    6.2576  
487618.000000  30.5100292670  114.3560532561  39.4805946527  -2268150.6535733929  5010321.9042944275  3219232.5464104614    1.4133    4.4241    6.2524  
487619.000000  30.5100292990  114.3560532925  39.4909113310  -2268150.6596849742  5010321.9093079735  3219232.5547034503    1.4131    4.4245    6.2524  
487620.000000  30.5100293145  114.3560533390  39.4995874735  -2268150.6664715293  5010321.9134872276  3219232.5605824529    1.4130    4.4273    6.2557  
487621.000000  30.5100293643  114.3560533907  39.4898207113  -2268150.6663642875  5010321.9012208059  3219232.5603831341    1.4128    4.4237    6.2500  
487622.000000  30.5100293506  114.3560534319  39.4927292420  -2268150.6713207755  5010321.9025764149  3219232.5605476066    1.4127    4.4242    6.2500  
487623.000000  30.5100294042  114.3560534294  39.5049632601  -2268150.6742072869  5010321.9095231388  3219232.5718856421    1.4126    4.4264    6.2526  
487624.000000  30.5100293261  114.3560534507  39.4922896456  -2268150.6733765067  5010321.9027429121  3219232.5579856383    1.4124    4.4137    6.2341  
487625.000000  30.5100292088  114.3560534775  39.4758571228  -2268150.6726063425  5010321.8947987910  3219232.5384385791    1.4123    4.3951    6.2071  
487626.000000  30.5100292071  114.3560535123  39.4778501028  -2268150.6763936039  5010321.8950711181  3219232.5392926652    1.4121    4.3942    6.2053  
